"modelname","period","model","rmse","mape","auc","proj","type"
"ARIMA","test","ARIMA",0.02888327170849,0.0207342029157556,0.958127238615043,-13,"nowcast"
"ARIMA","test","ARIMA",0.0424178693682168,0.030898164637658,0.890158621865939,-12,"nowcast"
"ARIMA","test","ARIMA",0.0488628224098203,0.0345739246422863,0.890158621865939,-11,"nowcast"
"ARIMA","test","ARIMA",0.0528215268735745,0.0368038411754318,0.890158621865939,-10,"nowcast"
"ARIMA","test","ARIMA",0.0543781570395954,0.0378026098221217,0.890158621865939,-9,"nowcast"
"ARIMA","test","ARIMA",0.0535843383992516,0.0379390822471833,0.890158621865939,-8,"nowcast"
"ARIMA","test","ARIMA",0.0541317092173064,0.0387020512032339,0.890158621865939,-7,"nowcast"
"ARIMA","test","ARIMA",0.0550347770175158,0.0397556147022386,0.890158621865939,-6,"nowcast"
"ARIMA","test","ARIMA",0.0556988493290962,0.0406231888232937,0.890158621865939,-5,"nowcast"
"ARIMA","test","ARIMA",0.056373295241862,0.0411105694038044,0.890158621865939,-4,"nowcast"
"ARIMA","test","ARIMA",0.0571206141374587,0.0414456549846537,0.880114017437961,-3,"nowcast"
"ARIMA","test","ARIMA",0.0572391694716508,0.0414861036215098,0.870526142173841,-2,"nowcast"
"ARIMA","test","ARIMA",0.0591585438337857,0.0429812235020978,0.861363636363636,-1,"nowcast"
"ARIMA","test","ARIMA",0.061065866910762,0.0443544399438097,0.841486810551559,0,"nowcast"
"ARIMA","test","ARIMA",0.0649767414990708,0.0497803614954549,0.822946859903382,1,"forecast"
"ARIMA","test","ARIMA",0.0687519309514772,0.0534256484809815,0.807948094079481,2,"forecast"
"ARIMA","test","ARIMA",0.070284369077354,0.0560491057886314,0.804003267973856,3,"forecast"
"ARIMA","test","ARIMA",0.0738735878941626,0.0588987591266887,0.788888888888889,4,"forecast"
"ARIMA","test","ARIMA",0.0776499199505269,0.0622455846141499,0.773714759535655,5,"forecast"
"ARIMA","test","ARIMA",0.0811941260766601,0.065774924228439,0.747368421052632,6,"forecast"
"ARIMA","test","ARIMA",0.085517524853049,0.0697951602417248,0.732070707070707,7,"forecast"
"ARIMA","train","ARIMA",0.124629699496445,0.129924888888549,0.945583811867651,0,"nowcast"
"ARIMA","train","ARIMA",0.0917269451759556,0.107234211276915,0.955017774131802,1,"forecast"
"ARIMA","train","ARIMA",0.107824937008797,0.121833036932646,0.938337435056057,2,"forecast"
"ARIMA","train","ARIMA",0.122475737172193,0.1369252131386,0.921657095980312,3,"forecast"
"ARIMA","train","ARIMA",0.136458110842929,0.152890787961663,0.904976756904567,4,"forecast"
"ARIMA","train","ARIMA",0.149356694814332,0.166932549535189,0.888296417828821,5,"forecast"
"ARIMA","train","ARIMA",0.162947355046786,0.180702284988614,0.879901960784314,6,"forecast"
"ARIMA","train","ARIMA",0.175728820246716,0.194426339819142,0.871777476255088,7,"forecast"
"ARIMA","valid","ARIMA",0.0572718083765709,0.0517776633821262,0.86128364389234,-13,"nowcast"
"ARIMA","valid","ARIMA",0.0938464812246298,0.0905924813480979,0.746376811594203,-12,"nowcast"
"ARIMA","valid","ARIMA",0.122129289152392,0.11449352089645,0.684265010351967,-11,"nowcast"
"ARIMA","valid","ARIMA",0.145322427392128,0.139738167612107,0.722567287784679,-10,"nowcast"
"ARIMA","valid","ARIMA",0.166145963860977,0.165686091754888,0.674948240165631,-9,"nowcast"
"ARIMA","valid","ARIMA",0.187432876198011,0.19297092677535,0.612836438923395,-8,"nowcast"
"ARIMA","valid","ARIMA",0.208821908297936,0.220435214848742,0.574534161490683,-7,"nowcast"
"ARIMA","valid","ARIMA",0.219277545008504,0.237913213494859,0.581780538302277,-6,"nowcast"
"ARIMA","valid","ARIMA",0.224679979668569,0.250819983169266,0.596273291925466,-5,"nowcast"
"ARIMA","valid","ARIMA",0.230472779822118,0.259112165394064,0.605590062111801,-4,"nowcast"
"ARIMA","valid","ARIMA",0.235200539976006,0.263244137496628,0.565217391304348,-3,"nowcast"
"ARIMA","valid","ARIMA",0.245304581009072,0.275033931911921,0.541407867494824,-2,"nowcast"
"ARIMA","valid","ARIMA",0.247689337335909,0.27960925741259,0.53416149068323,-1,"nowcast"
"ARIMA","valid","ARIMA",0.24814980780408,0.278749726879101,0.510351966873706,0,"nowcast"
"ARIMA","valid","ARIMA",0.251847634374383,0.280758587402822,0.479296066252588,1,"forecast"
"ARIMA","valid","ARIMA",0.255821498688974,0.286561163690345,0.486542443064182,2,"forecast"
"ARIMA","valid","ARIMA",0.26114862536664,0.297827560350068,0.384057971014493,3,"forecast"
"ARIMA","valid","ARIMA",0.264810712285378,0.302512474999931,0.415113871635611,4,"forecast"
"ARIMA","valid","ARIMA",0.269049963123642,0.311555014718433,0.417857142857143,5,"forecast"
"ARIMA","valid","ARIMA",0.273696429771219,0.323078403916003,0.420681986656783,6,"forecast"
"ARIMA","valid","ARIMA",0.278865074313541,0.332434590725209,0.388888888888889,7,"forecast"
"gbm","test","GBM",0.0829745769470878,0.063622400350606,0.844704076411393,-13,"nowcast"
"gbm","test","GBM",0.0892333030224025,0.0693255556511616,0.837711069418387,-12,"nowcast"
"gbm","test","GBM",0.0949740685853685,0.0744021895076054,0.813235544942862,-11,"nowcast"
"gbm","test","GBM",0.0985792047490888,0.0780063724269471,0.799249530956848,-10,"nowcast"
"gbm","test","GBM",0.101567245338289,0.0805468323373454,0.785263516970834,-9,"nowcast"
"gbm","test","GBM",0.103563267726142,0.0827445165594591,0.778270509977827,-8,"nowcast"
"gbm","test","GBM",0.106012708695051,0.0853195365785736,0.757291488998806,-7,"nowcast"
"gbm","test","GBM",0.107515807281927,0.0869083384217083,0.757291488998806,-6,"nowcast"
"gbm","test","GBM",0.108994042292927,0.0884957987809537,0.753794985502303,-5,"nowcast"
"gbm","test","GBM",0.109149662659555,0.0892636055327857,0.743305475012792,-4,"nowcast"
"gbm","test","GBM",0.109604565605148,0.0896952966820851,0.720321931589537,-3,"nowcast"
"gbm","test","GBM",0.110820352454708,0.0911738539300024,0.728682170542636,-2,"nowcast"
"gbm","test","GBM",0.112799223204363,0.0928255400848693,0.692857142857143,-1,"nowcast"
"gbm","test","GBM",0.114133026004642,0.0940379306769114,0.705115907274181,0,"nowcast"
"gbm","test","GBM",0.120250435007683,0.101365350051892,0.652415458937198,1,"forecast"
"gbm","test","GBM",0.12437409275461,0.105697143184926,0.63625304136253,2,"forecast"
"gbm","test","GBM",0.128043068788103,0.10984952936533,0.620016339869281,3,"forecast"
"gbm","test","GBM",0.131752324489247,0.113942789709574,0.603703703703704,4,"forecast"
"gbm","test","GBM",0.135395147967086,0.117924573543284,0.587313432835821,5,"forecast"
"gbm","test","GBM",0.139306779104712,0.121981661115603,0.570843776106934,6,"forecast"
"gbm","test","GBM",0.143317386063909,0.125881726657809,0.554292929292929,7,"forecast"
"gbm","train","GBM",0.146225084148508,0.145356724849752,0.892671588733935,0,"nowcast"
"gbm","train","GBM",0.0982941070265778,0.101305874655389,0.923844681432868,1,"forecast"
"gbm","train","GBM",0.116883594367845,0.119303371314394,0.907164342357123,2,"forecast"
"gbm","train","GBM",0.134784815203985,0.13697969034071,0.890484003281378,3,"forecast"
"gbm","train","GBM",0.151856901904879,0.15429661709575,0.873803664205633,4,"forecast"
"gbm","train","GBM",0.167958737890598,0.171197360740309,0.857123325129888,5,"forecast"
"gbm","train","GBM",0.183187547038146,0.187935510575021,0.848583877995643,6,"forecast"
"gbm","train","GBM",0.197473474370987,0.203950056726318,0.840298507462687,7,"forecast"
"gbm","valid","GBM",0.159348873907225,0.157869702868692,0.692546583850932,-13,"nowcast"
"gbm","valid","GBM",0.17895616988976,0.182881990381359,0.692546583850932,-12,"nowcast"
"gbm","valid","GBM",0.191072842100375,0.199733555499812,0.678053830227743,-11,"nowcast"
"gbm","valid","GBM",0.204852147746798,0.221295879969894,0.65424430641822,-10,"nowcast"
"gbm","valid","GBM",0.214810446966585,0.233730119479818,0.615942028985507,-9,"nowcast"
"gbm","valid","GBM",0.223278954579567,0.243426393683635,0.632505175983437,-8,"nowcast"
"gbm","valid","GBM",0.228028399945821,0.249248149538548,0.656314699792961,-7,"nowcast"
"gbm","valid","GBM",0.233813688232695,0.260137295165422,0.632505175983437,-6,"nowcast"
"gbm","valid","GBM",0.238676536490963,0.26697110722192,0.656314699792961,-5,"nowcast"
"gbm","valid","GBM",0.240337072378457,0.269048640984803,0.656314699792961,-4,"nowcast"
"gbm","valid","GBM",0.240091392874172,0.269250788948303,0.632505175983437,-3,"nowcast"
"gbm","valid","GBM",0.23832657877134,0.268458539910128,0.584886128364389,-2,"nowcast"
"gbm","valid","GBM",0.237340343425616,0.268011528640015,0.584886128364389,-1,"nowcast"
"gbm","valid","GBM",0.235758423737822,0.267493864400506,0.592132505175983,0,"nowcast"
"gbm","valid","GBM",0.250303266577105,0.286979926832984,0.522774327122153,1,"forecast"
"gbm","valid","GBM",0.254413664010935,0.292937086352802,0.491718426501035,2,"forecast"
"gbm","valid","GBM",0.255653641809184,0.28754477035699,0.460662525879917,3,"forecast"
"gbm","valid","GBM",0.260581915908812,0.298690830337257,0.429606625258799,4,"forecast"
"gbm","valid","GBM",0.261300268545676,0.296530570067232,0.4,5,"forecast"
"gbm","valid","GBM",0.261791264190998,0.29448794059448,0.401408450704225,6,"forecast"
"gbm","valid","GBM",0.262215931239379,0.297075858808677,0.402777777777778,7,"forecast"
"gpr","test","GPR",0.0777807516935274,0.0528680287426699,0.9214565921883,-13,"nowcast"
"gpr","test","GPR",0.0803945784115224,0.0553662132683877,0.893569844789357,-12,"nowcast"
"gpr","test","GPR",0.0807244897496887,0.0563593779786148,0.893569844789357,-11,"nowcast"
"gpr","test","GPR",0.0878117452817237,0.0616347348692836,0.88657683779635,-10,"nowcast"
"gpr","test","GPR",0.0923565752618014,0.0639794579942741,0.870885212348627,-9,"nowcast"
"gpr","test","GPR",0.0951507511832509,0.0648479735181084,0.870885212348627,-8,"nowcast"
"gpr","test","GPR",0.0995128616876482,0.0679497355195562,0.86389220535562,-7,"nowcast"
"gpr","test","GPR",0.100213133832415,0.0690101873923673,0.872590823810336,-6,"nowcast"
"gpr","test","GPR",0.0991893963245843,0.0687985092209752,0.869094320313832,-5,"nowcast"
"gpr","test","GPR",0.104090386148862,0.0702552938086099,0.856899198362613,-4,"nowcast"
"gpr","test","GPR",0.108234928463525,0.0722649317354201,0.854627766599597,-3,"nowcast"
"gpr","test","GPR",0.108381426869957,0.0739618994814491,0.855764473033152,-2,"nowcast"
"gpr","test","GPR",0.106691807439908,0.0735845030644141,0.831168831168831,-1,"nowcast"
"gpr","test","GPR",0.0999119778251547,0.0721895295457113,0.831974420463629,0,"nowcast"
"gpr","test","GPR",0.107479069795159,0.0796332611120591,0.791062801932367,1,"forecast"
"gpr","test","GPR",0.106738769592178,0.0820636247075539,0.790348742903487,2,"forecast"
"gpr","test","GPR",0.105958304546267,0.0844545348013194,0.774836601307189,3,"forecast"
"gpr","test","GPR",0.106048700952357,0.0869331541810704,0.759259259259259,4,"forecast"
"gpr","test","GPR",0.106763966094072,0.0895272868885855,0.743615257048093,5,"forecast"
"gpr","test","GPR",0.107917612413895,0.0922250629949645,0.731662489557226,6,"forecast"
"gpr","test","GPR",0.1090589215033,0.0945588487941025,0.715909090909091,7,"forecast"
"gpr","train","GPR",0.242267988489582,0.251855015742103,0.790830546265329,0,"nowcast"
"gpr","train","GPR",0.214422751621329,0.257831919486884,0.783584169453735,1,"forecast"
"gpr","train","GPR",0.17197760954615,0.207208371546255,0.807692307692308,2,"forecast"
"gpr","train","GPR",0.178801319643511,0.217389037644554,0.807692307692308,3,"forecast"
"gpr","train","GPR",0.178601093639902,0.216541231402196,0.807692307692308,4,"forecast"
"gpr","train","GPR",0.187399095304278,0.227452263161477,0.80188679245283,5,"forecast"
"gpr","train","GPR",0.196818930987017,0.238855308599023,0.796296296296296,6,"forecast"
"gpr","train","GPR",0.206819982106474,0.249772495301668,0.790909090909091,7,"forecast"
"gpr","valid","GPR",0.14762326304508,0.155948033944453,0.525879917184265,-13,"nowcast"
"gpr","valid","GPR",0.169378541229275,0.180568983183498,0.502070393374741,-12,"nowcast"
"gpr","valid","GPR",0.182715038267663,0.198509251093492,0.51656314699793,-11,"nowcast"
"gpr","valid","GPR",0.194999622325957,0.214746260548758,0.492753623188406,-10,"nowcast"
"gpr","valid","GPR",0.203875607009923,0.228149110648823,0.5,-9,"nowcast"
"gpr","valid","GPR",0.208626147436295,0.236658592906968,0.492753623188406,-8,"nowcast"
"gpr","valid","GPR",0.213506916940876,0.244735943530516,0.492753623188406,-7,"nowcast"
"gpr","valid","GPR",0.215852035435972,0.249831345674399,0.5,-6,"nowcast"
"gpr","valid","GPR",0.21762716387408,0.252926185013705,0.5,-5,"nowcast"
"gpr","valid","GPR",0.215152686583852,0.249101015551245,0.5,-4,"nowcast"
"gpr","valid","GPR",0.213492276769335,0.248121414688187,0.5,-3,"nowcast"
"gpr","valid","GPR",0.211609132579624,0.247050051635484,0.5,-2,"nowcast"
"gpr","valid","GPR",0.209253261012521,0.244675102292564,0.5,-1,"nowcast"
"gpr","valid","GPR",0.20751926098388,0.241745104627396,0.5,0,"nowcast"
"gpr","valid","GPR",0.20610089516059,0.243089517084328,0.5,1,"forecast"
"gpr","valid","GPR",0.203184290781529,0.238076531294499,0.5,2,"forecast"
"gpr","valid","GPR",0.203629261960092,0.237658127941999,0.5,3,"forecast"
"gpr","valid","GPR",0.20473036435426,0.238218983291505,0.5,4,"forecast"
"gpr","valid","GPR",0.207679703717114,0.245125680891284,0.5,5,"forecast"
"gpr","valid","GPR",0.211232606767965,0.254966267135943,0.5,6,"forecast"
"gpr","valid","GPR",0.214120020271042,0.26300022301935,0.5,7,"forecast"
"nn","test","NN",0.0549390043540156,0.0402396533384166,0.881460003411223,-13,"nowcast"
"nn","test","NN",0.058668046159983,0.0426150045056531,0.881460003411223,-12,"nowcast"
"nn","test","NN",0.0605462708737846,0.0442515798379193,0.872761384956507,-11,"nowcast"
"nn","test","NN",0.0621364358669381,0.0455607333789273,0.860566263005287,-10,"nowcast"
"nn","test","NN",0.0638730475369533,0.047003932753343,0.860566263005287,-9,"nowcast"
"nn","test","NN",0.0651749301496278,0.0482783256983482,0.857069759508784,-8,"nowcast"
"nn","test","NN",0.0670099673490597,0.0502604565894839,0.857069759508784,-7,"nowcast"
"nn","test","NN",0.0683121543925501,0.0515920131938806,0.857069759508784,-6,"nowcast"
"nn","test","NN",0.0698550915017726,0.0530073916599746,0.857069759508784,-5,"nowcast"
"nn","test","NN",0.0719531423082798,0.0548957814646114,0.844874637557564,-4,"nowcast"
"nn","test","NN",0.0746524352106278,0.0571052847705034,0.824111334674715,-3,"nowcast"
"nn","test","NN",0.0772379754654722,0.0591478226119545,0.815932706580901,-2,"nowcast"
"nn","test","NN",0.0808921434624979,0.0612009120521343,0.811688311688312,-1,"nowcast"
"nn","test","NN",0.0848060022553027,0.0637398268727979,0.789528377298162,0,"nowcast"
"nn","test","NN",0.0888581030224445,0.0691447358532257,0.77463768115942,1,"forecast"
"nn","test","NN",0.0922428862006435,0.0728918269685768,0.759691808596918,2,"forecast"
"nn","test","NN",0.0954322501795958,0.0763629180599058,0.74468954248366,3,"forecast"
"nn","test","NN",0.0990749056862203,0.0799432536008946,0.72962962962963,4,"forecast"
"nn","test","NN",0.102854001768109,0.0836358001067244,0.714510779436152,5,"forecast"
"nn","test","NN",0.106922363844786,0.0873533925517284,0.699331662489557,6,"forecast"
"nn","test","NN",0.110815428225362,0.0911340024561536,0.684090909090909,7,"forecast"
"nn","train","NN",0.173284104697315,0.124464079328047,0.963768115942029,0,"nowcast"
"nn","train","NN",0.175405733942665,0.124315512446781,0.971014492753623,1,"forecast"
"nn","train","NN",0.19085415963204,0.134694339638742,0.954334153677878,2,"forecast"
"nn","train","NN",0.205446200374179,0.144271831512692,0.937653814602133,3,"forecast"
"nn","train","NN",0.221603329375917,0.161805816935341,0.920973475526388,4,"forecast"
"nn","train","NN",0.235621776216074,0.176014536257358,0.904293136450643,5,"forecast"
"nn","train","NN",0.24867186549465,0.190525639879442,0.894880174291939,6,"forecast"
"nn","train","NN",0.261378364396199,0.205705174624604,0.885753052917232,7,"forecast"
"nn","valid","NN",0.177646938097535,0.195623386946885,0.559006211180124,-13,"nowcast"
"nn","valid","NN",0.189426075119408,0.209779242149659,0.559006211180124,-12,"nowcast"
"nn","valid","NN",0.199803759713467,0.223583270689228,0.55175983436853,-11,"nowcast"
"nn","valid","NN",0.207290831733014,0.234158679664927,0.55175983436853,-10,"nowcast"
"nn","valid","NN",0.212648076029531,0.242050151997671,0.55175983436853,-9,"nowcast"
"nn","valid","NN",0.21690320218215,0.248786124957406,0.55175983436853,-8,"nowcast"
"nn","valid","NN",0.219598356922755,0.254525756456729,0.527950310559006,-7,"nowcast"
"nn","valid","NN",0.220063276812703,0.257118966562005,0.473084886128364,-6,"nowcast"
"nn","valid","NN",0.219918940094091,0.258971627854331,0.504140786749482,-5,"nowcast"
"nn","valid","NN",0.217967670303699,0.256335653287065,0.473084886128364,-4,"nowcast"
"nn","valid","NN",0.215560853460274,0.254201376853893,0.504140786749482,-3,"nowcast"
"nn","valid","NN",0.212307182428426,0.250014690328608,0.549689440993789,-2,"nowcast"
"nn","valid","NN",0.209334306854955,0.245224662505612,0.573498964803313,-1,"nowcast"
"nn","valid","NN",0.206859806754324,0.242217904737146,0.604554865424431,0,"nowcast"
"nn","valid","NN",0.215297235629594,0.252677618378524,0.511387163561077,1,"forecast"
"nn","valid","NN",0.217157623338525,0.252700885040809,0.480331262939959,2,"forecast"
"nn","valid","NN",0.221440045872466,0.257115465907725,0.449275362318841,3,"forecast"
"nn","valid","NN",0.224456525110516,0.260664911212164,0.449275362318841,4,"forecast"
"nn","valid","NN",0.228561848371036,0.268498247920539,0.45,5,"forecast"
"nn","valid","NN",0.232697017077784,0.277498335275676,0.450704225352113,6,"forecast"
"nn","valid","NN",0.236746046138555,0.285754362965819,0.451388888888889,7,"forecast"
"rf","test","RF",0.0642898200106815,0.0459907880922863,0.884871226334641,-13,"nowcast"
